,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1CF,7.43571877023367,2.5810443228692,0.681596937322475,3.78676044673608,0.000152624111384058,0.000598789329180507
A2M,25300.8344088585,-2.29445415919217,0.316930241213776,-7.23961888396921,4.4994732275079e-13,1.00990198892033e-11
A2M-AS1,45.2333192573869,-1.52854395499066,0.235026493215937,-6.50370915242424,7.83633396739007e-11,1.19471800417668e-09
AACSP1,26.0393409221424,5.32439603689891,0.836254600607476,6.3669557489204,1.92816773381322e-10,2.7004080350275e-09
AADAC,408.355163627307,1.73009589696102,0.674945997803441,2.56331010568472,0.0103679398874636,0.0238717487420307
AADACL4,0.79998950809412,-2.79773845583462,0.81547011282518,-3.43082893147599,0.000601739943874818,0.0020122662359345
AADACP1,58.5414046640384,2.34244116204162,0.676231185728192,3.46396500409721,0.000532275752669457,0.00180526465359154
AARD,60.58078518715,-4.12954132671533,0.604314781669643,-6.83342763072242,8.29093312772799e-12,1.51724759743863e-10
AATBC,1203.97788053121,2.22975518235273,0.436370144055911,5.10977942172652,3.22535149403356e-07,2.37782638540541e-06
ABCA12,469.552410327428,2.458782788522,0.494012527160179,4.97716688007136,6.45216913092623e-07,4.46880656375352e-06
ABCA13,247.6809323721,2.0176778507145,0.54535391417353,3.69975863063573,0.000215804616432939,0.000814699128499725
ABCA4,262.772262110204,2.13264016405769,0.518634576788639,4.11202850620353,3.92197858651736e-05,0.000179320454507749
ABCA8,255.239560406516,-3.42070394581975,0.452063369971734,-7.56686821591767,3.82329407144626e-14,1.02499374152131e-12
ABCA9,225.159819689414,-2.03556713844325,0.448765430072315,-4.53592679390486,5.73510723774633e-06,3.22625216582598e-05
ABCA9-AS1,21.1062416842076,2.06602662265932,0.674770398141177,3.06182166311786,0.00219994479709939,0.006236829451598
ABCB1,131.837983090577,-1.91763201216691,0.283382887944171,-6.76692945745089,1.31544172032774e-11,2.31563642409477e-10
ABCB5,10.2128823873799,-3.68109316849652,0.654584383690877,-5.62355787918534,1.87064047124528e-08,1.76866503813309e-07
ABCC8,10.0899617419675,-2.60642150508999,0.671738240654374,-3.88011482352254,0.000104407164140216,0.000428080943772537
ABCC9,271.725571430361,-2.58148413439898,0.353696590281568,-7.2985836033758,2.90812785143009e-13,6.72443979646304e-12
ABCD2,36.354536367622,-2.59519163047809,0.408758749966358,-6.34895676408562,2.16779943087095e-10,3.00942331955328e-09
ABCG8,4.38089747336052,3.42172231493125,0.767917425710303,4.45584668399242,8.35627370961303e-06,4.53859955483215e-05
ABI3BP,753.007592707586,-3.37162075481801,0.398263144526761,-8.46581161514293,2.54375036672384e-17,1.19885712612603e-15
ABL1,4101.47845936865,-1.67742491817614,0.144590545889761,-11.601207450002,4.06304756606757e-31,2.37346131240968e-28
ABLIM1,5012.04078434488,-1.68191479875134,0.231127949404799,-7.27698576949526,3.4136125085479e-13,7.8038486575434e-12
ABRA,5.71010611326803,-2.83691661846947,0.428094265528327,-6.62685031524151,3.42925049291967e-11,5.62204597059312e-10
ACACB,719.745229631613,-2.79657119218245,0.276571013620038,-10.1115845640443,4.90838891882686e-24,9.15600144706879e-22
ACKR1,1062.47428834079,-3.10695266430261,0.521370347620218,-5.95920477350547,2.53468324033306e-09,2.88685985474157e-08
ACKR2,632.635096255706,2.66110458513025,0.519759123767916,5.11988046662647,3.05729377948126e-07,2.2659701942212e-06
ACKR4,63.3049764162091,-1.5501195315195,0.411487841427305,-3.76710895306818,0.0001651489385495,0.000642702688976471
ACOD1,3.17075613301081,2.54766819686437,0.813398465363105,3.13212810861044,0.00173544132387232,0.00507219572183248
ACOT4,268.122375457593,1.59724701476044,0.261752312238289,6.1021314428977,1.04663245157314e-09,1.28501920132858e-08
ACOX2,119.849541216718,-2.74564247426461,0.373125675957184,-7.35849246295147,1.85998756721922e-13,4.44913836391511e-12
ACP7,143.023665073378,1.82494427861152,0.53524180793753,3.40956975248935,0.000650654369321403,0.00215522935925002
ACSBG1,188.029684275917,1.62652237571566,0.526011004370781,3.09218317145535,0.0019869020510117,0.00570351115069931
ACSM5,15.318967420441,-2.09179821084901,0.402792756823279,-5.193236907601,2.06668922582279e-07,1.59182399149252e-06
ACTA1,46.7649438222306,-2.30671443974369,0.378443173037776,-6.09527296060758,1.09250869110504e-09,1.33396633251648e-08
ACTA2,20747.4207165017,-3.37126582601039,0.39469752681797,-8.54139080421748,1.3261588006233e-17,6.60046481081524e-16
ACTA2-AS1,111.305296434478,-2.94328239822144,0.409400527117188,-7.18924916620575,6.51485877747639e-13,1.41642345878963e-11
ACTBL2,14.3747059685499,3.76338045120505,0.792635576090508,4.74793280130959,2.05506287701624e-06,1.27035048020069e-05
ACTC1,4166.68648186394,-5.31606849747381,0.739730275003971,-7.18649577705235,6.64753451646311e-13,1.44244351120673e-11
ACTG2,20312.7959561827,-4.34329011035527,0.543435895520354,-7.9922768189548,1.3246917826804e-15,4.39552298629738e-14
ACTL8,31.2363462867423,4.83973356922967,0.783618126805076,6.17613784530733,6.56886404808712e-10,8.38020943330102e-09
ACTN1,15249.3356715776,-1.52236597049424,0.255904286029409,-5.94896628780688,2.69841204488003e-09,3.05878040742099e-08
ACTN2,92.6595941727318,-4.55181483745186,0.566990818809983,-8.02802212389496,9.90566204692503e-16,3.36818553765961e-14
ADAM18,1.39926301329483,2.64488117523295,0.928221126340133,2.84940850857533,0.00438006013121053,0.0113003922353105
ADAM2,13.0457462594061,5.25072552794935,0.997373941984143,5.26455054310295,1.4053273485154e-07,1.11851762217085e-06
ADAM33,374.373751383078,-3.18704885707345,0.423280217247524,-7.52940658979519,5.09714344415151e-14,1.34537919349911e-12
ADAM8,3301.13405881474,1.51142024674202,0.289499599591685,5.22080254644137,1.78149406968394e-07,1.3895152972187e-06
ADAMTS1,4101.03739258129,-3.42152950871096,0.332349399346049,-10.2949772602068,7.42371145371957e-25,1.61560340048693e-22
ADAMTS12,756.340115174481,1.55958996072309,0.404276958138307,3.85772656424691,0.000114446577132405,0.00046446523267151
ADAMTS16,186.293633250275,-1.66650580234508,0.493754924779919,-3.3751679602748,0.000737706526828264,0.00240428857473702
ADAMTS20,54.4495855231363,2.94363785546151,0.651153647396773,4.52065018330127,6.16499901120246e-06,3.44451668891699e-05
ADAMTS4,1944.63362711844,-3.00490090056064,0.360726095812878,-8.33014560199548,8.0742989274112e-17,3.46010207704004e-15
ADAMTS5,276.767829343781,-1.89124793774466,0.307574437787972,-6.14891130532895,7.80165880281256e-10,9.79531799235482e-09
ADAMTS8,148.201313542252,-3.10441745170688,0.457519776097669,-6.78531861111107,1.1583059835218e-11,2.06191469304065e-10
ADAMTS9,639.957843751078,-1.93516234831984,0.315716825156262,-6.12942419955619,8.81976823210403e-10,1.099894467507e-08
ADAMTS9-AS1,114.652797783401,-4.96371989700561,0.541794859661044,-9.16162235298983,5.11228685623239e-20,4.09684273049266e-18
ADAMTS9-AS2,25.0108056141004,-4.01474526727723,0.435684139812809,-9.21480701363644,3.11838745219272e-20,2.5829091292453e-18
ADAMTSL1,201.276036097168,-1.52854655484126,0.412351791905663,-3.70689926622402,0.000209812347789114,0.000794509467114083
ADAMTSL3,158.864311232445,-4.30309156138227,0.449436719020745,-9.57441032134192,1.02440197975518e-21,1.1201810417047e-19
ADARB1,1480.29611157482,-2.67682800947458,0.281462268366402,-9.510432872622,1.89870785698316e-21,1.91579622769601e-19
ADCY2,83.05460830508,-2.37473969167674,0.476217621233004,-4.98666908949768,6.14291454250068e-07,4.26926790903037e-06
ADCY5,623.940978838549,-3.32237622836631,0.455167475287131,-7.29923909055776,2.89399664129335e-13,6.69874217345461e-12
ADCY9,905.634076301426,-1.5125919272869,0.229360749618377,-6.59481593866269,4.25783771103195e-11,6.83409121543653e-10
ADCYAP1,57.3459422762148,-2.82598504425392,0.503478555077874,-5.61292038310712,1.98940148091643e-08,1.86410865653791e-07
ADCYAP1R1,29.8930894681713,-3.0099752335411,0.463790910217272,-6.48994011575393,8.58704992415513e-11,1.29846957913076e-09
ADGRA2,1629.97664313127,-2.43017433334006,0.306903862968267,-7.9183569403013,2.40669636721307e-15,7.65384612598793e-14
ADGRB3,47.9324831875199,-3.26911127088933,0.545410879043266,-5.99385050152253,2.04929778916343e-09,2.37795673412702e-08
ADGRD1,345.606301394957,-4.14218742079037,0.508595348112344,-8.14436749404834,3.81269621800304e-16,1.43935766406856e-14
