"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr17",57915665,57918682,3018,"*",12,4.94392874122597e-91,6.60666025360258e-10,0.0235138774353876,6.57543873413341e-08,0.398286192440971,0.313161139614871,"VMP1, MIR21"
"chr3",114012316,114012912,597,"*",5,1.63019069016853e-180,1.51038441509225e-07,0.00707523972726544,1.39235080398863e-06,0.543427744381756,0.425162160450998,"TIGIT"
"chrX",49121205,49122718,1514,"*",6,6.75741563763165e-84,2.92694493939111e-07,0.0116333739362747,3.55871561342301e-06,0.452908843039319,0.300624233199247,"FOXP3"
"chr11",118753476,118754593,1118,"*",8,3.8864780636139e-93,4.8331586193453e-05,0.0198424263463843,1.22183136992686e-05,0.414326431142758,0.207896385683397,"CXCR5"
"chr10",135202522,135203200,679,"*",6,1.47224075231207e-65,7.89985257920741e-07,0.0220837679631366,1.27634980383029e-05,0.280315748806272,0.229341870274821,"PAOX"
"chr1",7999572,8001309,1738,"*",6,4.69352603570092e-62,1.56298345899393e-06,0.0185143413259595,1.77373758063932e-05,0.339158326738385,0.234115465486216,"TNFRSF9"
"chr9",123688715,123689193,479,"*",3,1.09655855626262e-54,5.03259710335272e-05,0.0110938201036873,0.000185437416548588,0.293546745866054,0.216877552600699,"TRAF1"
"chr6",209712,209809,98,"*",3,3.76726365148443e-65,5.78908388207322e-05,0.0103144654986646,0.000202319005141794,0.409908580714218,0.298544693603057,NA
"chr17",25798202,25799447,1246,"*",9,5.12664651297466e-83,0.000524505082953699,0.027840744290897,0.000266857965220731,0.370374031101084,0.215109399122209,"KSR1"
"chr12",121971790,121974305,2516,"*",7,3.7814512524031e-48,0.000434192427341175,0.0265080732771322,0.000369056317855551,0.536005530220298,0.236722694209738,"KDM2B"
"chr17",9967417,9967499,83,"*",3,1.03723525719509e-49,0.000126141199275652,0.0120167881073362,0.000388994493475788,0.256175814306647,0.249740220637833,"GAS7"
"chr1",12188502,12188637,136,"*",3,9.57107562361614e-132,0.000307823808765973,0.00750592041324917,0.000476573912507314,0.37447247042674,0.299376419393328,"TNFRSF8"
"chr19",2607726,2608495,770,"*",5,1.67535049054028e-39,0.000144607961234633,0.0265671645761123,0.000641277747825156,0.324374824951325,0.210535548085693,"GNG7"
"chr4",2748026,2748332,307,"*",2,4.61102092319617e-61,0.000343222368159388,0.00758645414168054,0.000700078815546105,0.361091453644003,0.32255726171988,"TNIP2"
"chr16",85981310,85981947,638,"*",6,6.17462912599293e-65,0.00101527065705245,0.0217902586667165,0.000841058996052102,0.333395277801306,0.218222106206594,NA
"chr3",39369720,39369957,238,"*",2,5.34594252342975e-50,0.000421344354250335,0.00844107533239489,0.00085145382105021,0.469014555535455,0.381553961309903,NA
"chr8",128808017,128808554,538,"*",3,2.66136081857825e-51,0.000409040633736875,0.0143354934911686,0.000959569978826579,0.294121070569335,0.230403075573641,"PVT1"
"chr3",114036595,114037617,1023,"*",4,1.98638252069599e-25,0.000230835947914312,0.028336191998966,0.000983332270613171,0.294138726187516,0.266861446745489,NA
"chr6",447226,447777,552,"*",3,5.21309739976254e-50,0.000366719693425872,0.0143754715151112,0.000995286989985976,0.334608841498191,0.231862146506729,NA
"chr5",118693725,118693764,40,"*",2,7.04344296512938e-44,0.000561180139811798,0.00917429860307797,0.00110296145310325,0.41226545930377,0.325474257678002,"TNFAIP8"
"chr22",19436867,19436948,82,"*",2,3.56664944977607e-47,0.00059696304361894,0.0104756043403162,0.00119557330509827,0.298191501058145,0.257222535894307,"AC000068.5"
"chr20",30308956,30309717,762,"*",4,2.58283610335335e-38,0.000278843533144577,0.0348149916292758,0.00126074513983499,0.228341051888191,0.200266001297691,"AL160175.1, BCL2L1"
"chr19",38918135,38918253,119,"*",2,1.34514772712975e-35,0.000742445917560288,0.0116214437284565,0.00146838356414761,0.5188673800477,0.515274676820967,NA
"chr12",125030150,125030744,595,"*",2,1.50233677637464e-32,0.000757543871797627,0.011929790021968,0.00150190079347322,0.257931124126364,0.256259680738811,"NCOR2"
"chr2",128168798,128168987,190,"*",2,1.77109587779653e-39,0.000796322043470578,0.0112339073701989,0.00154501743728616,0.399637721456163,0.310654754253584,NA
